Ticker,Ensemble_Score,XGBoost_Prob,LSTM_Prob,Both_Bullish,RSI_14,Return_20d,Volatility_20d
MSFT,0.7234,0.7491,0.5809,True,-0.2,27.37,-54.2922
AEP,0.72,0.756,0.565,True,0.6,-0.21,-16.4246
AWK,0.7166,0.7231,0.5976,True,0.1,-28.77,-44.2588
EXR,0.7126,0.7482,0.558,True,0.2,30.62,-1.9294
ROP,0.7118,0.7324,0.5756,True,-0.3,38.36,-40.5348
CI,0.7098,0.7317,0.572,True,0.6,61.82,38.3332
HSY,0.7079,0.7397,0.5578,True,-0.1,-25.6,7.2678
ZTS,0.7009,0.7115,0.5767,True,-0.5,-49.0,-15.541
SPGI,0.7007,0.7135,0.5739,True,1.1,81.68,-98.7043
JNJ,0.699,0.7272,0.5534,True,-0.1,-52.36,-93.3876
ECL,0.6979,0.7191,0.5609,True,-0.4,-10.64,-98.7842
BALL,0.6943,0.68,0.6007,True,0.4,33.25,-64.0438
LNT,0.6937,0.7055,0.5682,True,1.7,38.29,0.6338
DTE,0.6928,0.6932,0.5811,True,1.8,-10.41,-37.7036
VRSN,0.691,0.7145,0.5513,True,0.0,44.43,6.0294
ROL,0.6909,0.6987,0.5703,True,-0.1,59.57,-54.7439
UNP,0.6908,0.7058,0.5614,True,0.0,39.39,28.8881
BG,0.6897,0.6671,0.6062,True,0.4,65.56,-38.6405
CCI,0.6882,0.6859,0.58,True,-0.1,-39.19,-27.0461
MCD,0.6882,0.7091,0.5514,True,-0.6,-9.47,-72.3586
D,0.6877,0.7072,0.5528,True,0.4,-27.73,-31.929
CTRA,0.6873,0.6809,0.584,True,1.2,125.45,47.9364
KMB,0.6864,0.6809,0.582,True,1.2,20.61,-82.0336
MKC,0.6863,0.6955,0.564,True,0.0,-22.82,-53.628
FRT,0.686,0.6978,0.5604,True,0.4,37.2,-92.4252
UDR,0.6854,0.6936,0.5643,True,0.5,78.5,-46.3947
CB,0.6849,0.6763,0.5844,True,0.7,1.19,-88.7745
FDS,0.6844,0.6779,0.5813,True,0.4,73.65,-54.8971
CMS,0.6829,0.6727,0.5843,True,1.2,-14.58,-57.8298
SYK,0.6828,0.6768,0.5789,True,0.7,94.85,-57.2113
YUM,0.6814,0.697,0.5512,True,0.0,45.44,-64.9683
EIX,0.6807,0.6754,0.5762,True,1.1,52.14,-68.0215
INVH,0.6807,0.6596,0.5953,True,0.2,82.59,-58.6257
BRK-B,0.6804,0.6866,0.5618,True,1.7,59.62,-25.2216
STZ,0.6804,0.6596,0.5947,True,0.3,24.09,-12.391
DUK,0.6781,0.684,0.5598,True,1.1,4.59,-49.6066
PLD,0.6756,0.6686,0.573,True,-0.1,15.2,-34.6562
ADM,0.6756,0.6596,0.584,True,1.1,-27.47,11.9967
CL,0.6755,0.6546,0.59,True,1.0,11.81,-35.9071
ROST,0.6754,0.6855,0.5519,True,1.1,104.11,1.4314
EXC,0.6753,0.6649,0.577,True,0.8,-5.39,-51.3137
TXT,0.6748,0.6701,0.5694,True,-0.6,51.97,11.4326
OXY,0.6729,0.6583,0.5795,True,-0.2,-14.21,-33.8017
EQR,0.6725,0.6723,0.5616,True,0.7,81.36,-37.5352
VICI,0.6724,0.6458,0.5936,True,1.2,6.55,-72.4497
PPL,0.6679,0.6704,0.5538,True,1.2,61.53,-45.3861
KDP,0.6678,0.6675,0.557,True,-0.4,-36.29,-28.0033
FE,0.6667,0.6527,0.5727,True,0.5,7.69,-101.1585
XYL,0.6662,0.6562,0.5674,True,0.2,26.82,-42.7106
MRSH,0.6648,0.6546,0.5662,True,0.7,56.63,-90.1847
ES,0.6643,0.6506,0.5699,True,1.1,-50.09,-39.619
MPC,0.6624,0.627,0.5945,True,0.2,69.67,-18.8487
EPAM,0.6614,0.6373,0.5797,True,0.2,324.56,243.2218
PPG,0.6586,0.6554,0.5514,True,-0.3,-20.28,-49.8782
ED,0.6561,0.6487,0.5539,True,0.6,-28.03,-68.0884
DVN,0.6538,0.6462,0.5519,True,-0.6,-47.96,-3.1831
KO,0.6534,0.646,0.5512,True,0.1,-39.02,-87.3607
A,0.6533,0.6428,0.555,True,-0.1,44.8,40.6874
CLX,0.6532,0.6349,0.5645,True,0.3,39.53,-82.6916
MCO,0.6524,0.7393,0.5461,False,0.9,97.79,-68.9587
SJM,0.6518,0.7375,0.5471,False,0.2,31.83,23.4216
VZ,0.6504,0.6238,0.5717,True,1.9,37.25,-62.8123
EVRG,0.6498,0.6337,0.5584,True,1.1,70.79,-82.5607
MRK,0.6491,0.6261,0.566,True,-0.5,-33.35,-37.411
EOG,0.6477,0.6281,0.5605,True,-0.4,85.26,27.8188
VLO,0.6474,0.6063,0.5864,True,0.4,70.1,-10.0322
WY,0.6468,0.6211,0.5672,True,0.1,24.45,-40.5216
ACN,0.6453,0.6299,0.5529,True,0.2,35.38,-35.6994
ICE,0.6452,0.7272,0.5449,False,0.7,13.59,-84.3223
L,0.6443,0.6117,0.573,True,1.4,93.09,-1.6899
OMC,0.6441,0.7278,0.5418,False,-0.2,19.76,47.4919
NEE,0.6434,0.7251,0.5435,False,0.4,-26.21,13.4061
PG,0.6432,0.6019,0.5827,True,1.9,76.41,-57.6936
AAPL,0.6425,0.625,0.5527,True,1.0,36.35,-78.2424
CBOE,0.6407,0.7268,0.5356,False,1.7,-9.16,0.6054
EQT,0.6403,0.5834,0.5989,True,0.9,271.82,124.4885
MSCI,0.6392,0.716,0.5453,False,0.4,58.33,-30.037
RTX,0.6371,0.7373,0.5146,False,-0.4,-10.72,-14.2144
OTIS,0.6369,0.6031,0.5671,True,0.6,37.65,-83.3981
DIS,0.6365,0.5719,0.6044,True,1.9,238.7,26.5805
BBY,0.6361,0.7309,0.5203,False,-0.1,-31.09,66.13
REG,0.6347,0.7095,0.5433,False,0.6,43.98,-106.417
LIN,0.6339,0.7118,0.5387,False,-0.1,-12.74,-94.02
BDX,0.6338,0.7132,0.5367,False,-1.4,-85.2,-10.2149
AMCR,0.6335,0.7046,0.5466,False,0.6,-63.69,69.3263
GIS,0.6332,0.7168,0.531,False,0.0,-56.32,-36.2338
LYB,0.6329,0.7159,0.5315,False,-0.9,-73.69,-42.8624
ABT,0.6321,0.6014,0.5584,True,0.4,31.48,-43.738
SMCI,0.6307,0.5793,0.5823,True,0.4,119.44,1152.5434
CHD,0.6307,0.5765,0.586,True,1.0,100.25,-28.1707
PEP,0.6302,0.7155,0.526,False,-0.5,-44.33,-52.2495
AFL,0.6298,0.6986,0.5457,False,1.4,85.45,-75.886
AIG,0.6295,0.6011,0.5532,True,0.3,-9.67,-70.2249
HST,0.6288,0.5943,0.5597,True,0.2,56.35,-48.105
TJX,0.6267,0.5859,0.5654,True,1.8,112.51,-85.2684
EXPD,0.6258,0.6905,0.5467,False,0.1,1.09,-73.8077
EXE,0.6257,0.5723,0.5797,True,1.2,183.76,28.5457
DPZ,0.6256,0.5656,0.5877,True,0.3,154.92,13.4924
ALLE,0.6249,0.6886,0.547,False,-0.8,-15.06,-87.7579
O,0.6244,0.6887,0.5459,False,-0.0,-49.99,-60.7912
PEG,0.6238,0.589,0.5551,True,1.9,39.92,30.8713
PFG,0.6234,0.5831,0.5616,True,0.3,42.58,-35.9514
IBKR,0.6232,0.5803,0.5645,True,1.9,278.03,120.8023
CPRT,0.6228,0.5678,0.579,True,1.4,251.23,98.8924
CNP,0.6224,0.5815,0.5614,True,1.5,108.42,-11.4668
HIG,0.622,0.5839,0.5574,True,1.2,113.79,-42.5588
MET,0.6219,0.5893,0.5505,True,2.1,133.41,8.2557
RSG,0.6215,0.5746,0.5678,True,0.7,97.06,-76.2625
VTRS,0.6215,0.681,0.5486,False,0.1,140.34,173.5676
MAA,0.6209,0.691,0.5351,False,0.6,75.77,-47.5012
PNW,0.62,0.6979,0.5247,False,0.3,68.14,-24.7655
LOW,0.6193,0.6847,0.5394,False,-0.2,22.95,16.7454
TPR,0.619,0.5621,0.5775,True,1.4,347.93,169.1006
UPS,0.6189,0.5656,0.5729,True,0.3,4.26,-34.5091
PSA,0.6189,0.7008,0.5189,False,0.3,43.52,18.5024
DOW,0.6181,0.7262,0.4859,False,-0.9,-133.44,2.0849
TEL,0.6181,0.7025,0.5149,False,-0.7,9.88,-21.0865
XYZ,0.6179,0.562,0.5752,True,0.9,242.66,247.4508
CAH,0.6179,0.6924,0.5267,False,-0.0,125.61,70.8943
EG,0.6179,0.5517,0.5878,True,1.1,88.66,-39.5126
NWSA,0.6169,0.6844,0.5344,False,-0.4,66.64,-43.9867
MDLZ,0.6168,0.6888,0.5288,False,-0.9,-86.99,-60.3646
DD,0.6159,0.678,0.5399,False,-0.3,-11.3,-2.8647
AJG,0.6146,0.5705,0.5575,True,1.1,106.44,-66.8123
ACGL,0.6132,0.5615,0.5652,True,0.8,63.8,15.3291
MMM,0.6123,0.73,0.4684,False,-0.3,28.24,2.6782
SPY,0.6122,0.5698,0.5529,True,0.1,45.82,-99.7919
OKE,0.6107,0.6725,0.5351,False,0.6,195.21,44.5255
SRE,0.6105,0.6663,0.5423,False,0.4,122.17,35.3035
GEHC,0.6104,0.6742,0.5324,False,-0.9,-81.89,-20.975
SBAC,0.6103,0.6781,0.5274,False,0.2,-36.87,-26.438
SO,0.6102,0.6617,0.5473,False,0.2,-40.69,-65.7804
VTR,0.6099,0.6938,0.5074,False,-0.8,-51.32,-67.1014
HD,0.609,0.6604,0.5461,False,0.9,88.77,-16.689
KMI,0.6085,0.7077,0.4872,False,0.8,157.84,15.721
DHR,0.608,0.6803,0.5197,False,-0.8,-54.44,-56.5052
STE,0.6075,0.658,0.5456,False,-0.2,-37.33,-11.6875
KVUE,0.6068,0.6847,0.5115,False,0.6,45.46,-34.2601
PCG,0.6055,0.6508,0.55,False,1.2,57.88,-85.4094
CTSH,0.6053,0.6575,0.5414,False,-0.1,74.12,23.8215
CVS,0.605,0.55,0.5611,True,0.6,46.31,226.277
LYV,0.605,0.6564,0.5421,False,1.4,189.86,50.4269
AMT,0.6039,0.6704,0.5226,False,0.6,-50.81,43.3098
AOS,0.6038,0.6628,0.5318,False,-0.4,-35.12,-49.1516
XOM,0.6035,0.5541,0.5528,True,-0.7,-3.43,-46.9731
ARE,0.6021,0.6628,0.5279,False,-0.8,-39.55,-11.7136
MDT,0.602,0.6591,0.5322,False,-0.6,-61.69,-46.3096
TT,0.5997,0.6632,0.5222,False,0.1,123.23,-37.4981
SYY,0.5993,0.6528,0.5338,False,-0.3,9.01,-62.9944
DOC,0.5975,0.6615,0.5192,False,-0.8,-33.7,-13.1292
IT,0.5967,0.6665,0.5114,False,-2.0,11.27,-22.0116
COO,0.5961,0.6612,0.5165,False,-0.0,-27.93,-79.9645
BSX,0.5948,0.6405,0.5389,False,0.4,68.99,-47.5305
NOC,0.5946,0.659,0.5159,False,-1.8,-70.87,-29.7793
TSN,0.594,0.6354,0.5435,False,1.3,105.36,4.0743
NWS,0.5937,0.6358,0.5422,False,-0.4,100.04,-33.0465
KHC,0.5933,0.6605,0.5113,False,-0.6,-64.13,-56.5055
JKHY,0.5932,0.6681,0.5016,False,-0.9,-63.17,-76.4208
PWR,0.592,0.6474,0.5242,False,0.9,144.44,-30.7378
CARR,0.5919,0.6408,0.5321,False,-0.1,50.97,-31.8091
CPT,0.5918,0.6337,0.5405,False,0.4,77.85,-36.0954
RVTY,0.5917,0.6826,0.4805,False,-1.2,-50.09,26.1938
BAX,0.5915,0.6585,0.5096,False,-0.6,-86.21,13.4276
WEC,0.5912,0.63,0.5437,False,1.0,54.51,-74.9435
TAP,0.5895,0.6269,0.5439,False,0.5,141.04,-7.3368
SHW,0.589,0.6419,0.5243,False,0.3,105.65,-6.0373
TMO,0.5873,0.6835,0.4698,False,-1.0,-61.91,-26.0374
VRTX,0.5871,0.673,0.4821,False,-1.6,-45.12,72.3932
CAG,0.5869,0.6497,0.5101,False,-1.1,-82.79,-53.2928
HPE,0.5867,0.6675,0.4879,False,-0.7,80.62,90.8209
WBD,0.5861,0.6182,0.547,False,0.8,319.87,212.5976
FOX,0.5844,0.636,0.5213,False,0.9,151.5,4.6974
TSCO,0.5843,0.6214,0.5389,False,-0.5,61.29,2.5468
MAS,0.584,0.6328,0.5244,False,-0.3,-11.33,-21.3958
HRL,0.584,0.6277,0.5307,False,1.1,48.1,-32.4184
ANET,0.5836,0.6721,0.4755,False,-0.1,34.49,122.5229
EFX,0.5835,0.6692,0.4787,False,-0.8,-39.19,29.4817
AEE,0.5829,0.6313,0.5238,False,0.8,74.42,-22.863
CPB,0.5827,0.6321,0.5223,False,0.0,-36.94,-34.9014
DE,0.5825,0.6144,0.5435,False,1.7,155.26,81.3144
HAS,0.5824,0.642,0.5096,False,0.3,-20.56,-5.1202
META,0.5824,0.6443,0.5067,False,-0.8,-11.23,-18.5727
CF,0.5816,0.6127,0.5434,False,1.0,90.16,6.7201
FTNT,0.5811,0.6249,0.5276,False,0.1,223.49,160.8824
CNC,0.5809,0.6299,0.5211,False,-0.3,-68.78,38.5418
JCI,0.5807,0.6514,0.4943,False,-0.5,105.98,65.7901
BAC,0.5796,0.6206,0.5295,False,1.2,137.11,40.8144
KIM,0.5792,0.6309,0.5159,False,0.6,67.75,-81.6529
PFE,0.5783,0.6348,0.5092,False,-0.5,-96.45,8.1786
BEN,0.5763,0.6377,0.5013,False,1.2,89.04,17.8117
GE,0.5762,0.6243,0.5175,False,-0.6,46.77,-9.5025
AVY,0.5753,0.6134,0.5288,False,-0.2,-31.65,-67.8177
NDSN,0.5753,0.5986,0.5468,False,-0.3,37.71,-18.4449
FIS,0.5749,0.6295,0.5082,False,-1.0,-84.39,-40.0425
CMCSA,0.5744,0.6325,0.5033,False,-0.7,-38.54,12.7184
CTVA,0.5744,0.6228,0.5153,False,0.5,0.47,67.9431
NVR,0.574,0.5487,0.6049,False,-0.4,-14.61,-31.6202
TTWO,0.5726,0.6065,0.5311,False,1.0,171.51,29.6631
IR,0.5724,0.5983,0.5406,False,0.2,76.49,0.6506
BF-B,0.5723,0.626,0.5067,False,0.4,-78.32,-0.5797
GD,0.5722,0.6367,0.4935,False,-1.8,-56.55,34.1054
IBM,0.5714,0.607,0.528,False,1.1,104.5,-35.621
CHRW,0.5708,0.6391,0.4872,False,-1.1,4.03,-64.0596
LVS,0.5694,0.6039,0.5273,False,0.6,7.24,-5.0955
TROW,0.5689,0.5923,0.5403,False,1.4,126.59,-1.5525
MNST,0.5684,0.6027,0.5266,False,0.0,30.14,43.5394
BA,0.5675,0.6277,0.4939,False,0.0,23.63,66.852
NI,0.5675,0.5976,0.5306,False,1.4,74.13,-69.789
ETN,0.5674,0.6007,0.5266,False,0.2,136.33,21.331
DGX,0.5669,0.5961,0.5312,False,0.2,35.0,-65.7118
AME,0.5668,0.5468,0.5911,False,0.5,46.52,-31.9465
DDOG,0.5663,0.5817,0.5476,False,1.3,234.65,160.9298
PHM,0.5647,0.6101,0.5092,False,0.1,27.52,40.1413
GL,0.5645,0.5797,0.5458,False,0.5,38.38,-1.2225
T,0.5643,0.6186,0.4979,False,0.8,7.44,-71.6922
ITW,0.5641,0.5802,0.5444,False,0.3,49.56,-62.5672
MO,0.564,0.5867,0.5362,False,2.0,46.53,-95.3025
FITB,0.5631,0.6269,0.4852,False,0.9,94.37,51.4353
APD,0.5626,0.5424,0.5873,False,1.8,66.14,-76.0045
FANG,0.5624,0.5899,0.5287,False,-0.5,-13.92,31.9129
NKE,0.5613,0.5789,0.5398,False,0.3,-0.02,-0.3509
BIIB,0.5604,0.5982,0.5142,False,-1.7,-117.2,-49.1724
ESS,0.5603,0.5842,0.5312,False,0.3,86.52,-24.7921
AIZ,0.5602,0.5348,0.5912,False,1.8,195.17,-6.5808
HUBB,0.5601,0.6027,0.5081,False,-0.5,70.78,64.9723
WSM,0.5599,0.6301,0.474,False,1.7,312.03,513.7567
STX,0.5596,0.5965,0.5145,False,-0.9,-13.99,-26.7774
RMD,0.5595,0.6221,0.483,False,-0.5,9.51,-9.4434
FTV,0.5595,0.544,0.5785,False,0.8,108.04,-36.4926
ADP,0.5593,0.6116,0.4954,False,-0.0,47.64,-38.1129
PSX,0.5592,0.4979,0.634,False,1.9,105.47,-37.6592
SCHW,0.5581,0.5651,0.5495,False,2.1,180.57,38.2645
EMR,0.5577,0.5436,0.5749,False,0.8,249.03,76.2939
ALGN,0.5576,0.5673,0.5458,False,0.2,136.2,124.6986
AVB,0.5576,0.5853,0.5238,False,-0.1,48.65,-24.8269
INTC,0.5575,0.591,0.5167,False,-1.1,115.02,196.3141
FOXA,0.5571,0.6272,0.4715,False,0.6,120.21,18.2565
AZO,0.5567,0.6844,0.4006,False,0.1,38.32,-6.7199
PSKY,0.5562,0.5824,0.5243,False,-0.4,-35.24,119.405
LUV,0.5556,0.5876,0.5164,False,0.1,44.12,-22.4656
PAYX,0.5543,0.6047,0.4925,False,-0.7,42.41,-3.1846
NOW,0.5543,0.6135,0.4818,False,0.4,123.68,-10.8206
GLW,0.5542,0.6235,0.4695,False,-0.1,9.01,-43.4076
GEN,0.554,0.5887,0.5117,False,0.8,51.36,-37.0627
AMD,0.554,0.6337,0.4567,False,-1.3,-82.54,20.8862
NFLX,0.5532,0.5837,0.516,False,1.2,181.22,-20.2456
SLB,0.5531,0.5267,0.5853,False,0.2,89.95,38.1249
WM,0.5528,0.5491,0.5573,False,0.3,43.04,-82.0403
GPC,0.5528,0.5875,0.5103,False,0.4,99.87,17.0126
APA,0.5519,0.5638,0.5373,False,0.5,-73.5,155.4978
